i_id,j_id,date,svc,period,hours,bundle_id,score,per_hour_utility,slot_type
10,20260105-PICU-DAY-02,2026-01-05,PICU,Day,10.0,PICU_day_W02_full,9.005863656905634,0.9005863656905634,bundle
10,20260105-PICU-NIGHT-03,2026-01-05,PICU,Night,16.0,,5.540513621548526,0.3462821013467829,individual
10,20260105-Sedation-DAY-04,2026-01-05,Sedation,Day,9.0,,9.052730735997136,1.0058589706663483,individual
10,20260106-PCICU-NIGHT-02,2026-01-06,PCICU,Night,16.0,,5.434649964642894,0.33966562279018087,individual
10,20260106-PICU-DAY-03,2026-01-06,PICU,Day,10.0,PICU_day_W02_full,8.905863656905632,0.8905863656905633,bundle
10,20260106-PICU-NIGHT-04,2026-01-06,PICU,Night,16.0,,5.440513621548527,0.3400321013467829,individual
10,20260106-Sedation-DAY-05,2026-01-06,Sedation,Day,9.0,,8.952730735997136,0.9947478595552374,individual
10,20260106-Smilow-DAY-06,2026-01-06,Smilow,Day,4.0,,9.9,2.475,individual
10,20260107-PICU-DAY-02,2026-01-07,PICU,Day,10.0,PICU_day_W02_full,8.905863656905632,0.8905863656905633,bundle
10,20260107-PICU-NIGHT-03,2026-01-07,PICU,Night,16.0,,5.440513621548527,0.3400321013467829,individual
10,20260107-Sedation-DAY-04,2026-01-07,Sedation,Day,9.0,,8.952730735997136,0.9947478595552374,individual
10,20260108-PICU-DAY-03,2026-01-08,PICU,Day,10.0,PICU_day_W02_full,8.905863656905632,0.8905863656905633,bundle
10,20260108-PICU-NIGHT-04,2026-01-08,PICU,Night,16.0,,5.440513621548527,0.3400321013467829,individual
10,20260108-Sedation-DAY-05,2026-01-08,Sedation,Day,9.0,,8.952730735997136,0.9947478595552374,individual
10,20260109-PICU-DAY-02,2026-01-09,PICU,Day,10.0,PICU_day_W02_full,8.205863656905633,0.8205863656905633,bundle
10,20260109-PICU-NIGHT-03,2026-01-09,PICU,Night,16.0,,4.740513621548526,0.2962821013467829,individual
10,20260109-Sedation-DAY-04,2026-01-09,Sedation,Day,9.0,,8.252730735997137,0.9169700817774596,individual
10,20260111-PICU-24H-02,2026-01-11,PICU,24h,25.0,,0.1058636569056336,0.0042345462762253434,individual
10,20260112-PICU-DAY-02,2026-01-12,PICU,Day,10.0,PICU_day_W03_full,9.005863656905634,0.9005863656905634,bundle
10,20260112-PICU-NIGHT-03,2026-01-12,PICU,Night,16.0,,5.540513621548526,0.3462821013467829,individual
10,20260112-Sedation-DAY-04,2026-01-12,Sedation,Day,9.0,,9.052730735997136,1.0058589706663483,individual
10,20260113-PICU-DAY-03,2026-01-13,PICU,Day,10.0,PICU_day_W03_full,8.905863656905632,0.8905863656905633,bundle
10,20260113-PICU-NIGHT-04,2026-01-13,PICU,Night,16.0,,5.440513621548527,0.3400321013467829,individual
10,20260113-Sedation-DAY-05,2026-01-13,Sedation,Day,9.0,,8.952730735997136,0.9947478595552374,individual
10,20260113-Smilow-DAY-06,2026-01-13,Smilow,Day,4.0,,9.9,2.475,individual
10,20260114-PICU-DAY-02,2026-01-14,PICU,Day,10.0,PICU_day_W03_full,8.905863656905632,0.8905863656905633,bundle
10,20260114-PICU-NIGHT-03,2026-01-14,PICU,Night,16.0,,5.440513621548527,0.3400321013467829,individual
10,20260114-Sedation-DAY-04,2026-01-14,Sedation,Day,9.0,,8.952730735997136,0.9947478595552374,individual
10,20260115-PICU-DAY-03,2026-01-15,PICU,Day,10.0,PICU_day_W03_full,8.905863656905632,0.8905863656905633,bundle
10,20260115-PICU-NIGHT-04,2026-01-15,PICU,Night,16.0,,5.440513621548527,0.3400321013467829,individual
10,20260115-Sedation-DAY-05,2026-01-15,Sedation,Day,9.0,,8.952730735997136,0.9947478595552374,individual
10,20260116-PICU-DAY-02,2026-01-16,PICU,Day,10.0,PICU_day_W03_full,8.205863656905633,0.8205863656905633,bundle
10,20260116-PICU-NIGHT-03,2026-01-16,PICU,Night,16.0,,4.740513621548526,0.2962821013467829,individual
10,20260116-Sedation-DAY-04,2026-01-16,Sedation,Day,9.0,,8.252730735997137,0.9169700817774596,individual
10,20260117-PICU-24H-02,2026-01-17,PICU,24h,25.0,,0.005863656905633595,0.00023454627622534381,individual
10,20260118-PICU-24H-02,2026-01-18,PICU,24h,25.0,,0.1058636569056336,0.0042345462762253434,individual
10,20260119-PICU-DAY-02,2026-01-19,PICU,Day,10.0,PICU_day_W04_full,9.005863656905634,0.9005863656905634,bundle
10,20260119-PICU-NIGHT-03,2026-01-19,PICU,Night,16.0,,5.540513621548526,0.3462821013467829,individual
10,20260119-Sedation-DAY-04,2026-01-19,Sedation,Day,9.0,,9.052730735997136,1.0058589706663483,individual
10,20260120-PCICU-NIGHT-02,2026-01-20,PCICU,Night,16.0,,5.434649964642894,0.33966562279018087,individual
10,20260120-PICU-DAY-03,2026-01-20,PICU,Day,10.0,PICU_day_W04_full,8.905863656905632,0.8905863656905633,bundle
10,20260120-PICU-NIGHT-04,2026-01-20,PICU,Night,16.0,,5.440513621548527,0.3400321013467829,individual
10,20260120-Sedation-DAY-05,2026-01-20,Sedation,Day,9.0,,8.952730735997136,0.9947478595552374,individual
10,20260120-Smilow-DAY-06,2026-01-20,Smilow,Day,4.0,,9.9,2.475,individual
10,20260121-PICU-DAY-02,2026-01-21,PICU,Day,10.0,PICU_day_W04_full,8.905863656905632,0.8905863656905633,bundle
10,20260121-PICU-NIGHT-03,2026-01-21,PICU,Night,16.0,,5.440513621548527,0.3400321013467829,individual
