i_id,j_id,date,svc,period,hours,bundle_id,score,per_hour_utility,slot_type
12,20260105-Sedation-DAY-04,2026-01-05,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260106-PCICU-NIGHT-02,2026-01-06,PCICU,Night,16.0,,6.6,0.4125,individual
12,20260106-Sedation-DAY-05,2026-01-06,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260106-Smilow-DAY-06,2026-01-06,Smilow,Day,4.0,,8.6,2.15,individual
12,20260107-Sedation-DAY-04,2026-01-07,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260108-Sedation-DAY-05,2026-01-08,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260109-Sedation-DAY-04,2026-01-09,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260112-Sedation-DAY-04,2026-01-12,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260113-Sedation-DAY-05,2026-01-13,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260113-Smilow-DAY-06,2026-01-13,Smilow,Day,4.0,,8.6,2.15,individual
12,20260114-Sedation-DAY-04,2026-01-14,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260115-Sedation-DAY-05,2026-01-15,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260116-Sedation-DAY-04,2026-01-16,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260119-Sedation-DAY-04,2026-01-19,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260120-PCICU-NIGHT-02,2026-01-20,PCICU,Night,16.0,,6.6,0.4125,individual
12,20260120-Sedation-DAY-05,2026-01-20,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260120-Smilow-DAY-06,2026-01-20,Smilow,Day,4.0,,8.6,2.15,individual
12,20260121-Sedation-DAY-04,2026-01-21,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260122-Sedation-DAY-05,2026-01-22,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260123-Sedation-DAY-04,2026-01-23,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260124-PCICU-24H-01,2026-01-24,PCICU,24h,10.0,PCICU_weekend_pair_W04,5.4,0.54,bundle
12,20260125-PCICU-24H-01,2026-01-25,PCICU,24h,10.0,PCICU_weekend_pair_W04,5.4,0.54,bundle
12,20260126-Sedation-DAY-04,2026-01-26,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260127-Sedation-DAY-05,2026-01-27,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260127-Smilow-DAY-06,2026-01-27,Smilow,Day,4.0,,8.6,2.15,individual
12,20260128-Sedation-DAY-04,2026-01-28,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260129-Sedation-DAY-05,2026-01-29,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260130-Sedation-DAY-04,2026-01-30,Sedation,Day,9.0,,8.6,0.9555555555555555,individual
12,20260202-Sedation-DAY-04,2026-02-02,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260203-Sedation-DAY-05,2026-02-03,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260203-Smilow-DAY-06,2026-02-03,Smilow,Day,4.0,,6.6,1.65,individual
12,20260204-Sedation-DAY-04,2026-02-04,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260205-Sedation-DAY-05,2026-02-05,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260206-Sedation-DAY-04,2026-02-06,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260207-PCICU-24H-01,2026-02-07,PCICU,24h,10.0,PCICU_weekend_pair_W06,3.4,0.33999999999999997,bundle
12,20260208-PCICU-24H-01,2026-02-08,PCICU,24h,10.0,PCICU_weekend_pair_W06,3.4,0.33999999999999997,bundle
12,20260209-Sedation-DAY-04,2026-02-09,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260210-PCICU-NIGHT-02,2026-02-10,PCICU,Night,16.0,,4.6,0.2875,individual
12,20260210-Sedation-DAY-05,2026-02-10,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260210-Smilow-DAY-06,2026-02-10,Smilow,Day,4.0,,6.6,1.65,individual
12,20260211-Sedation-DAY-04,2026-02-11,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260212-Sedation-DAY-05,2026-02-12,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260213-Sedation-DAY-04,2026-02-13,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260214-PCICU-24H-01,2026-02-14,PCICU,24h,10.0,PCICU_weekend_pair_W07,3.4,0.33999999999999997,bundle
12,20260215-PCICU-24H-01,2026-02-15,PCICU,24h,10.0,PCICU_weekend_pair_W07,3.4,0.33999999999999997,bundle
12,20260216-Sedation-DAY-04,2026-02-16,Sedation,Day,9.0,,6.6,0.7333333333333333,individual
12,20260217-PCICU-NIGHT-02,2026-02-17,PCICU,Night,16.0,,4.6,0.2875,individual
